File Name;Algorithm;Ranking Factor;Size Factor;Line;Character;Keywords Before;Lemma;Index;Result 1;Result 2;Result 3;Result 4;Result 5;Result 6;Result 7;Result 8;Result 9;Result 10
./Rel.v;StructuredTypeEvaluation;10;10;95;11;apply;Hc;-1;zero_not_one;PeanoNat.Nat.neq_0_succ;PeanoNat.Nat.neq_succ_0;O_S;disc_example;Znat.Zabs2Nat.inj_0;Znat.Z2Nat.inj_0;PeanoNat.Nat.Private_NZSqrt.sqrt_0;PeanoNat.Nat.Private_NZPow.pow_eq_0;PeanoNat.Nat.Private_NZGcdProp.gcd_eq_0_r
./Rel.v;StructuredTypeEvaluation;10;10;95;12;apply;Hc;-1;test_hd_error1;Vector.hd;VectorDef.hd;NatList.test_hd2;NatList.test_hd_error1;;;;;
./Rel.v;StructuredTypeEvaluation;10;10;95;13;apply;Hc;-1;;;;;;;;;;
./Rel.v;StructuredTypeEvaluation;10;10;96;13;apply;le_n;40;PeanoNat.Nat.Private_NZSqrt.sqrt_spec_nonneg;PeanoNat.Nat.le_0_l;PeanoNat.Nat.le_0_1;le_0_n;O_le_n;PeanoNat.Nat.Private_OrderTac.Tac.not_gt_le;PeanoNat.Nat.Private_OrderTac.Tac.le_eq;PeanoNat.Nat.Private_OrderTac.Tac.eq_le;PeanoNat.Nat.Private_OrderTac.Tac.le_trans;PeanoNat.Nat.Private_OrderTac.Tac.le_refl
./Rel.v;StructuredTypeEvaluation;10;10;96;14;apply;le_n;2;le_0_n;le_S_n;le_n;leb_complete;le_trans;le_S;le_n_S;le_pred;le_plus_trans;le_plus_l
./Rel.v;StructuredTypeEvaluation;10;10;96;15;apply;le_n;2;le_0_n;le_S_n;le_n;leb_complete;le_trans;le_S;le_n_S;le_pred;le_plus_trans;le_plus_l
./Rel.v;StructuredTypeEvaluation;10;10;96;16;apply;le_n;2;le_0_n;le_S_n;le_n;le_trans;le_S;le_n_S;le_pred;le_plus_trans;le_plus_l;leb_complete
./Rel.v;StructuredTypeEvaluation;10;10;96;17;apply;le_n;0;le_n;le_n_S;le_0_n;le_S_n;le_trans;O_le_n;le_plus_trans;Le.le_Sn_le_stt;Sn_le_Sm__n_le_m;PeanoNat.Nat.le_ngt
./Rel.v;StructuredTypeEvaluation;10;10;97;13;apply;le_S;102;PeanoNat.Nat.le_0_1;PeanoNat.Nat.le_0_2;PeanoNat.Nat.nle_succ_0;PeanoNat.Nat.Private_Parity.Odd_1;PeanoNat.Nat.Private_NZSqrt.sqrt_spec_nonneg;PeanoNat.Nat.OddT_1;PeanoNat.Nat.le_0_l;PeanoNat.Nat.lt_0_1;le_0_n;O_le_n
./Rel.v;StructuredTypeEvaluation;10;10;97;14;apply;le_S;5;le_0_n;le_S_n;le_n;leb_complete;le_trans;le_S;le_n_S;le_pred;le_plus_trans;le_plus_l
./Rel.v;StructuredTypeEvaluation;10;10;97;15;apply;le_S;5;le_0_n;le_S_n;le_n;leb_complete;le_trans;le_S;le_n_S;le_pred;le_plus_trans;le_plus_l
./Rel.v;StructuredTypeEvaluation;10;10;97;16;apply;le_S;4;le_0_n;le_S_n;le_n;le_trans;le_S;le_n_S;le_pred;le_plus_trans;le_plus_l;leb_complete
./Rel.v;StructuredTypeEvaluation;10;10;97;17;apply;le_S;0;le_S;le_S_n;le_n_S;Le.le_Sn_le_stt;le_plus_trans;le_plus_l;le_trans;Sn_le_Sm__n_le_m;n_le_m__Sn_le_Sm;Between.exists_le_S
./Rel.v;StructuredTypeEvaluation;10;10;97;25;apply;le_n;40;PeanoNat.Nat.Private_NZSqrt.sqrt_spec_nonneg;PeanoNat.Nat.le_0_l;PeanoNat.Nat.le_0_1;le_0_n;O_le_n;PeanoNat.Nat.Private_OrderTac.Tac.not_gt_le;PeanoNat.Nat.Private_OrderTac.Tac.le_eq;PeanoNat.Nat.Private_OrderTac.Tac.eq_le;PeanoNat.Nat.Private_OrderTac.Tac.le_trans;PeanoNat.Nat.Private_OrderTac.Tac.le_refl
./Rel.v;StructuredTypeEvaluation;10;10;97;26;apply;le_n;2;le_0_n;le_S_n;le_n;leb_complete;le_trans;le_S;le_n_S;le_pred;le_plus_trans;le_plus_l
./Rel.v;StructuredTypeEvaluation;10;10;97;27;apply;le_n;2;le_0_n;le_S_n;le_n;leb_complete;le_trans;le_S;le_n_S;le_pred;le_plus_trans;le_plus_l
./Rel.v;StructuredTypeEvaluation;10;10;97;28;apply;le_n;2;le_0_n;le_S_n;le_n;le_trans;le_S;le_n_S;le_pred;le_plus_trans;le_plus_l;leb_complete
./Rel.v;StructuredTypeEvaluation;10;10;97;29;apply;le_n;0;le_n;le_n_S;le_0_n;le_S_n;le_trans;O_le_n;le_plus_trans;Le.le_Sn_le_stt;Sn_le_Sm__n_le_m;PeanoNat.Nat.le_ngt
./Rel.v;StructuredTypeEvaluation;10;10;116;11;apply;(Hc;-1;zero_not_one;PeanoNat.Nat.neq_0_succ;PeanoNat.Nat.neq_succ_0;O_S;disc_example;Znat.Zabs2Nat.inj_0;Znat.Z2Nat.inj_0;PeanoNat.Nat.Private_NZSqrt.sqrt_0;PeanoNat.Nat.Private_NZPow.pow_eq_0;PeanoNat.Nat.Private_NZGcdProp.gcd_eq_0_r
./Rel.v;StructuredTypeEvaluation;10;10;116;12;apply;(Hc;-1;;;;;;;;;;
./Rel.v;StructuredTypeEvaluation;10;10;116;13;apply;(Hc;-1;;;;;;;;;;
./Rel.v;StructuredTypeEvaluation;10;10;116;14;apply;(Hc;-1;;;;;;;;;;
./Rel.v;StructuredTypeEvaluation;10;10;116;29;apply;total_rel;5;PeanoNat.Nat.Private_Parity.Odd_1;PeanoNat.Nat.OddT_1;PeanoNat.Nat.le_0_1;PeanoNat.Nat.lt_0_1;term_done;total_rel;PeanoNat.Nat.Private_Parity.Even_1;PeanoNat.Nat.Odd_alt_S;PeanoNat.Nat.Even_alt_S;PeanoNat.Nat.lt_0_succ
./Rel.v;StructuredTypeEvaluation;10;10;116;30;apply;total_rel;1;term_done;total_rel;test_odd1;test_bin_incr4;test_ltb1;test_leb1;test_odd2;test_normalize2;test_normalize3;test_ltb3
